,year,km_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,price,brand_name,yn_new_price,loc_type
0,10,11.184421397998193,Gas,0,First,26.6,998.0,58.16,5.0,1.75,Maruti,0,metro 1
1,5,10.621327345686446,Diesel,0,First,19.67,1582.0,126.2,5.0,12.5,Hyundai,0,metro 2
2,9,10.736396675471232,Petrol,0,First,18.2,1199.0,88.7,5.0,4.5,Honda,1,metro 1
3,8,11.37366339763672,Diesel,0,First,20.77,1248.0,88.76,7.0,6.0,Maruti,0,metro 1
4,7,10.61324599890127,Diesel,1,Second,15.2,1968.0,140.8,5.0,17.74,Audi,0,emerging
5,8,11.225243392518447,Gas,0,First,21.1,814.0,55.2,5.0,2.35,Hyundai,0,metro 2
6,7,11.373651903317787,Diesel,0,First,23.08,1461.0,63.1,5.0,3.5,Nissan,0,emerging
7,4,10.491274217438248,Diesel,1,First,11.36,2755.0,171.5,8.0,17.5,Toyota,1,metro 1
8,7,11.073334642132687,Diesel,0,First,20.54,1598.0,103.6,5.0,5.2,Volkswagen,0,metro 2
9,8,11.096379186851246,Diesel,0,Second,22.3,1248.0,74.0,5.0,1.95,Tata,0,metro 1
10,2,10.153934938377683,Petrol,0,First,21.56,1462.0,103.25,5.0,9.95,Maruti,1,emerging
11,8,11.002099841204238,Petrol,1,First,16.8,1497.0,116.3,5.0,4.49,Honda,0,metro 1
12,5,11.07324151347538,Diesel,0,First,25.2,1248.0,74.0,5.0,5.6,Maruti,0,emerging
13,6,11.184421397998193,Diesel,1,First,12.7,2179.0,187.7,5.0,27.0,Land Rover,0,metro 1
14,8,11.350406535472453,Diesel,1,Second,10.96,2179.0,115.0,5.0,17.5,Land Rover,0,metro 2
15,6,11.608235644774552,Diesel,0,First,13.5,2477.0,175.56,7.0,15.0,Mitsubishi,1,metro 1
16,4,10.984444905965518,Diesel,0,First,25.8,1498.0,98.6,5.0,5.4,Honda,0,emerging
17,3,10.126631103850338,Diesel,0,First,28.4,1248.0,74.0,5.0,5.99,Maruti,0,emerging
18,6,11.257633135320098,Diesel,0,First,20.45,1461.0,83.8,5.0,6.34,Renault,0,emerging
19,6,11.2708539037705,Diesel,1,First,14.84,2143.0,167.62,5.0,28.0,Mercedes-Benz,0,metro 2
20,6,10.403717237088715,Diesel,1,First,22.69,1995.0,190.0,5.0,18.55,BMW,1,emerging
21,5,10.922190457975935,Diesel,0,Second,23.65,1248.0,88.5,5.0,8.25,Maruti,0,metro 2
22,5,10.932839076694297,Petrol,1,First,13.53,1984.0,177.01,5.0,23.5,Audi,0,metro 1
23,10,10.73219219685162,Petrol,0,First,18.5,1197.0,80.0,5.0,1.87,Hyundai,0,metro 1
24,10,10.404262840448617,Petrol,1,First,14.4,1598.0,103.6,5.0,2.85,Volkswagen,0,metro 1
25,8,10.857459351377972,Petrol,0,First,16.8,1497.0,116.3,5.0,4.25,Honda,0,metro 1
26,8,10.896739325546411,Diesel,0,First,23.08,1461.0,63.1,5.0,4.25,Nissan,0,metro 2
27,7,10.896739325546411,Petrol,0,Second,20.92,998.0,67.1,5.0,2.75,Maruti,0,metro 2
28,2,10.530227800898475,Petrol,0,First,17.5,1199.0,88.7,5.0,9.9,Honda,1,emerging
29,13,12.476099782743233,Diesel,0,Third,12.8,2494.0,102.0,7.0,4.0,Toyota,0,metro 1
30,7,11.03488966402723,Diesel,0,First,19.01,1461.0,108.45,5.0,7.75,Renault,0,metro 2
31,8,11.38070749514252,Petrol,0,First,14.53,1798.0,138.1,5.0,6.75,Toyota,0,metro 1
32,7,11.184421397998193,Diesel,1,Second,11.18,2696.0,184.0,7.0,12.5,Mahindra,0,metro 2
33,10,10.46310334047155,Diesel,1,First,12.4,2698.0,179.5,5.0,11.5,Audi,0,metro 1
34,6,10.922894283023263,Petrol,0,Second,16.09,1598.0,103.5,5.0,6.98,Volkswagen,1,emerging
35,11,11.3363791990328,Petrol,0,Second,14.0,1061.0,64.0,5.0,1.85,Maruti,0,emerging
36,2,10.821277160534018,Diesel,0,First,24.3,1248.0,88.5,5.0,8.63,Maruti,1,emerging
37,3,10.858998997563564,Petrol,0,First,18.15,1198.0,82.0,5.0,4.85,Mahindra,0,metro 1
38,7,11.350406535472453,Diesel,1,First,11.74,2987.0,254.8,5.0,28.0,Mercedes-Benz,0,metro 2
39,7,11.03488966402723,Diesel,0,First,22.07,1199.0,73.9,5.0,5.0,Volkswagen,0,metro 1
40,12,11.407564949312402,Petrol,0,Second,19.7,796.0,46.3,5.0,1.25,Maruti,0,metro 1
41,6,9.888272386729648,Petrol,0,First,25.4,624.0,37.5,4.0,1.53,Tata,0,emerging
42,3,10.000296608464188,Diesel,0,First,25.32,1198.0,77.0,6.0,5.58,Mahindra,0,emerging
43,6,10.476921711213846,Petrol,0,First,18.5,1197.0,82.9,5.0,4.74,Hyundai,0,emerging
44,6,10.744494236334926,Petrol,1,First,14.62,1999.0,149.92,5.0,8.85,Hyundai,1,metro 2
45,4,10.859018228147887,Petrol,1,First,14.28,1798.0,138.03,5.0,10.11,Toyota,0,metro 1
46,12,10.968284492709508,Diesel,0,Second,14.9,1991.0,112.2,5.0,4.25,Hyundai,0,metro 2
47,8,11.166257427370521,Petrol,0,First,11.25,2694.0,163.7,7.0,10.95,Toyota,1,metro 2
48,6,11.225243392518447,Diesel,0,First,24.4,1120.0,71.0,5.0,3.85,Hyundai,0,emerging
49,8,11.235853571630463,Diesel,0,Second,16.55,2498.0,105.0,6.0,5.5,Mahindra,0,emerging
50,5,9.52134826973146,Diesel,1,First,17.11,1968.0,174.33,5.0,21.43,Audi,0,emerging
51,6,10.858998997563564,Diesel,0,First,22.9,1248.0,74.0,5.0,4.25,Maruti,0,metro 1
52,6,10.87804719253426,Diesel,0,First,17.8,1248.0,75.0,5.0,3.3,Maruti,0,metro 1
53,7,11.092092879730941,Diesel,0,First,28.4,1248.0,74.0,5.0,3.85,Maruti,0,metro 1
54,5,10.896739325546411,Petrol,0,Third,18.9,1197.0,82.0,5.0,3.6,Hyundai,0,metro 1
55,5,10.571316925111784,Petrol,0,First,15.04,1598.0,103.2,5.0,3.99,Volkswagen,0,metro 1
56,3,9.713657880251851,Petrol,0,First,25.17,799.0,53.3,5.0,3.3,Renault,0,emerging
57,10,10.373491181781864,Petrol,0,First,20.36,1197.0,78.9,5.0,2.07,Hyundai,0,metro 1
58,10,11.71023415157243,Diesel,1,First,13.29,1995.0,147.6,5.0,7.75,Nissan,0,metro 2
59,10,10.578979797857352,Petrol,0,First,18.2,998.0,67.1,5.0,2.25,Maruti,0,metro 2
60,3,9.998797732340453,Diesel,0,First,13.68,2393.0,147.8,8.0,16.5,Toyota,1,metro 1
61,10,11.184421397998193,Diesel,0,First,20.0,1399.0,68.0,5.0,2.75,Ford,0,metro 2
62,5,10.968198289528557,Petrol,1,First,11.74,1796.0,186.0,5.0,26.7,Mercedes-Benz,0,metro 1
63,9,11.082142548877775,Diesel,0,Second,15.8,2148.0,170.0,5.0,10.0,Mercedes-Benz,0,metro 2
64,4,12.089538829274222,Diesel,0,First,25.0,1396.0,69.0,5.0,2.5,Tata,0,metro 1
65,8,11.092306109090387,Diesel,1,First,16.55,1968.0,140.0,5.0,13.5,Audi,0,emerging
66,13,11.05089000537367,Petrol,1,Second,16.4,1497.0,78.0,5.0,1.85,Honda,0,metro 1
67,1,9.640107772607312,Diesel,1,First,14.15,1950.0,194.0,5.0,35.67,Mercedes-Benz,1,emerging
68,4,11.05089000537367,Diesel,0,First,24.52,1248.0,88.5,7.0,8.15,Maruti,0,metro 2
69,2,9.472704636443673,Diesel,0,First,22.1,1396.0,88.7,5.0,10.5,Hyundai,1,metro 1
70,12,11.198214720130528,Petrol,1,First,8.5,4806.0,500.0,5.0,14.5,Porsche,0,metro 1
71,5,10.928255936745675,Diesel,0,First,15.1,2179.0,140.0,7.0,9.65,Mahindra,0,metro 1
72,8,10.71836552166722,Petrol,1,First,16.95,1197.0,78.9,5.0,3.48,Hyundai,0,emerging
73,5,10.93428484717576,Diesel,0,First,19.64,1461.0,108.5,5.0,6.92,Nissan,1,emerging
74,4,10.526748605631907,Petrol,1,Second,16.5,1198.0,86.8,5.0,6.46,Honda,0,emerging
75,6,10.933106969717286,Diesel,1,Second,18.53,1968.0,187.74,5.0,29.5,Audi,0,metro 1
76,12,11.618284980627555,Diesel,0,First,17.8,1399.0,74.27,5.0,2.0,Ford,0,emerging
77,14,12.345834587905333,Petrol,0,Third,12.4,1998.0,132.0,8.0,4.5,Toyota,0,metro 1
78,8,11.55214617812351,Diesel,0,First,12.8,2494.0,102.0,7.0,11.75,Toyota,0,metro 2
79,15,11.380433531920369,Petrol,0,First,10.14,1086.0,62.28,5.0,1.3,Hyundai,0,metro 2
80,8,11.462684248533481,Diesel,0,First,22.9,1248.0,74.0,5.0,3.75,Maruti,0,emerging
81,3,11.156250521031495,Petrol,0,First,17.57,1193.0,88.7,5.0,4.5,Tata,1,metro 2
82,4,10.914069763697203,Petrol,0,First,18.0,1198.0,86.7,5.0,4.82,Honda,0,emerging
83,8,11.161053255132654,Diesel,0,First,20.0,1399.0,68.0,5.0,2.8,Ford,0,metro 2
84,7,11.50929889691453,Diesel,0,First,23.2,1248.0,73.94,5.0,3.11,Maruti,0,emerging
85,11,10.858998997563564,Petrol,0,First,17.8,1497.0,117.3,5.0,3.25,Honda,0,metro 1
86,9,11.225243392518447,Diesel,1,Second,16.73,1995.0,218.0,5.0,13.9,BMW,0,metro 1
87,11,11.471895115412236,Petrol,0,First,20.36,1197.0,78.9,5.0,2.25,Hyundai,0,metro 2
88,4,9.680344001221918,Petrol,0,First,18.9,1197.0,82.0,5.0,5.75,Hyundai,0,metro 2
89,13,11.208368475293602,Petrol,0,First,17.0,1086.0,62.28,5.0,2.1,Hyundai,0,metro 2
90,4,9.849506438669614,Petrol,0,First,17.8,1198.0,86.7,5.0,5.0,Honda,0,metro 1
91,6,11.580584113444043,Diesel,0,First,13.0,2982.0,168.5,7.0,16.5,Toyota,0,metro 1
92,2,10.78657304197918,Diesel,1,First,17.68,1968.0,174.33,5.0,39.58,Audi,0,emerging
93,7,10.950806546816688,Diesel,0,First,22.7,1498.0,89.84,5.0,5.5,Ford,0,metro 1
94,6,10.968198289528557,Diesel,0,First,15.1,2179.0,140.0,7.0,8.1,Mahindra,0,metro 1
95,5,10.308952660644293,Diesel,0,First,25.8,1498.0,98.6,5.0,3.5,Honda,0,metro 1
96,7,10.440331738700673,Diesel,0,First,22.07,1199.0,73.9,5.0,2.79,Volkswagen,0,metro 1
97,10,11.156279092051912,Diesel,0,First,16.2,1493.0,110.0,5.0,3.45,Hyundai,0,metro 2
98,4,11.03488966402723,Petrol,0,First,18.9,998.0,67.1,5.0,4.45,Maruti,0,metro 2
99,10,11.034905792929415,Petrol,0,First,15.26,1598.0,103.5,5.0,2.65,Volkswagen,0,metro 1
100,9,11.276671344505923,Diesel,0,Second,23.0,1396.0,90.0,5.0,3.8,Hyundai,0,metro 2
101,6,10.31493473232184,Petrol,0,First,18.5,1197.0,82.85,5.0,4.65,Hyundai,0,metro 1
102,3,10.39973746484973,Petrol,0,First,19.83,1198.0,67.0,7.0,3.95,Datsun,1,metro 2
103,10,10.308952660644293,Diesel,1,First,14.94,2967.0,241.4,5.0,9.8,Audi,0,metro 1
104,11,11.097410021008562,Petrol,0,Second,17.0,1197.0,80.0,5.0,2.7,Hyundai,0,metro 2
105,10,11.449453042014655,Petrol,0,First,14.0,796.0,35.0,5.0,2.41,Maruti,0,emerging
106,6,10.87804719253426,Petrol,0,First,17.71,1197.0,78.9,5.0,3.9,Toyota,1,metro 2
107,9,11.26446410567173,Diesel,1,Second,14.74,2993.0,270.9,5.0,24.0,Jaguar,0,metro 2
108,8,11.082142548877775,Diesel,0,Second,16.0,2179.0,140.0,7.0,5.75,Mahindra,0,metro 1
109,6,10.596634733096073,Diesel,1,First,22.32,1582.0,126.32,5.0,5.25,Hyundai,0,metro 1
110,3,10.308952660644293,Diesel,1,First,11.36,2755.0,171.5,7.0,19.25,Toyota,1,metro 1
111,3,10.546735203808643,Petrol,0,First,15.1,1196.0,73.0,5.0,3.91,Maruti,1,emerging
112,6,10.146433731146518,Petrol,0,First,25.4,624.0,37.5,4.0,2.15,Tata,0,metro 2
113,5,10.934659335602204,Diesel,1,First,22.69,1995.0,190.0,5.0,20.75,BMW,1,metro 1
114,10,11.17167382517569,Petrol,0,First,13.5,1799.0,130.0,5.0,3.35,Honda,0,metro 1
115,6,10.915088464214607,Diesel,0,First,12.99,2494.0,100.6,7.0,11.11,Toyota,0,metro 2
116,6,10.395130356885344,Diesel,1,First,23.3,1984.0,150.0,5.0,20.0,Volvo,0,metro 2
117,4,10.593680373269637,Petrol,1,First,19.15,1198.0,75.94,5.0,6.55,Nissan,1,emerging
118,11,11.759785542901755,Petrol,1,First,10.8,2497.0,215.0,5.0,7.0,BMW,0,metro 1
119,4,10.915088464214607,Diesel,0,First,24.3,1248.0,88.5,5.0,7.5,Maruti,1,metro 1
120,15,11.532728092266408,Petrol,0,Second,17.0,1086.0,62.28,5.0,0.85,Hyundai,0,metro 1
121,6,10.892154758385857,Diesel,1,Second,15.0,2143.0,107.3,5.0,16.75,Mercedes-Benz,0,metro 2
122,2,9.235032984566555,Diesel,0,First,22.0,1582.0,126.2,5.0,10.95,Hyundai,1,metro 1
123,9,10.689077168485634,Petrol,0,First,18.9,998.0,67.1,5.0,2.45,Maruti,0,metro 2
124,3,10.394640940504598,Petrol,1,First,21.9,624.0,37.48,4.0,3.23,Tata,0,emerging
125,6,10.645424897265505,Diesel,0,First,12.05,2179.0,120.0,8.0,7.75,Mahindra,0,metro 1
126,11,10.252452853404808,Petrol,1,First,11.7,1796.0,178.0,5.0,9.35,Mercedes-Benz,0,metro 1
127,7,11.406453220459712,Gas,0,First,26.6,998.0,58.16,5.0,3.25,Maruti,0,metro 2
128,13,10.772686676876432,Petrol,0,Second,10.8,2354.0,152.0,5.0,5.25,Honda,0,metro 2
129,5,10.915088464214607,Diesel,1,First,21.21,1498.0,103.2,5.0,7.25,Volkswagen,0,metro 2
130,3,10.698401298243683,Petrol,0,First,20.73,1373.0,91.1,5.0,7.47,Maruti,0,emerging
131,4,10.896739325546411,Diesel,1,First,16.0,2179.0,140.0,7.0,13.25,Mahindra,0,emerging
132,4,10.316656245029325,Petrol,0,First,21.1,1197.0,85.8,5.0,5.81,Maruti,0,emerging
133,6,11.390757830996021,Petrol,0,First,24.07,998.0,67.1,5.0,2.6,Maruti,1,metro 2
134,3,9.500918247539989,Petrol,1,First,19.0,2996.0,362.07,2.0,54.0,Mercedes-Benz,1,metro 1
135,1,9.445017159104065,Petrol,1,First,17.0,1591.0,121.3,5.0,11.5,Hyundai,1,emerging
136,10,11.455137441202835,Petrol,0,Second,19.7,796.0,46.3,5.0,1.6,Maruti,0,metro 1
137,5,10.36788172817358,Diesel,1,First,20.58,1995.0,143.0,5.0,17.22,BMW,0,emerging
138,5,9.392661928770137,Petrol,1,First,19.0,1199.0,88.7,5.0,6.0,Honda,0,metro 1
139,8,11.391638798762143,Petrol,0,First,13.5,1799.0,130.0,5.0,3.95,Honda,0,metro 1
140,6,10.713639688348616,Diesel,1,First,19.27,2143.0,170.0,5.0,17.95,Mercedes-Benz,0,emerging
141,6,10.715395068816916,Diesel,0,First,25.8,1498.0,98.6,5.0,3.7,Honda,0,metro 1
142,4,10.440097875275846,Petrol,0,First,22.0,1197.0,81.8,5.0,5.43,Maruti,0,emerging
143,12,11.299224689982603,Petrol,0,Third,17.0,1086.0,62.28,5.0,1.67,Hyundai,0,emerging
144,8,11.421193874370635,Diesel,0,First,11.5,2982.0,171.0,7.0,13.49,Toyota,0,emerging
145,6,10.566175525611365,Petrol,0,First,18.6,1199.0,76.8,5.0,2.85,Chevrolet,0,metro 2
146,7,11.326595886778735,Diesel,0,First,21.14,1498.0,103.52,5.0,4.75,Skoda,0,metro 1
147,2,10.628206071933391,Petrol,0,First,20.73,1373.0,91.1,5.0,9.9,Maruti,0,emerging
148,7,10.043249494911286,Petrol,1,First,11.05,2894.0,444.0,4.0,37.0,Audi,1,metro 1
149,6,10.778956289890028,Diesel,1,First,21.76,1995.0,190.0,5.0,26.5,BMW,1,metro 1
150,5,10.783404714295925,Diesel,1,First,17.11,1968.0,174.33,5.0,23.32,Audi,0,emerging
151,4,10.46310334047155,Diesel,0,First,22.9,1248.0,74.0,5.0,6.25,Maruti,0,metro 1
152,10,10.470986472491525,Petrol,1,First,7.81,5461.0,362.9,5.0,30.0,Mercedes-Benz,0,metro 1
153,4,10.908155395027697,Diesel,1,First,21.66,1498.0,103.52,5.0,9.86,Skoda,0,emerging
154,8,11.827714306760283,Diesel,1,First,17.2,1968.0,138.1,5.0,8.5,Skoda,0,metro 2
155,1,9.569552095566886,Petrol,0,First,21.1,814.0,55.2,5.0,4.23,Hyundai,0,emerging
156,8,11.091849133347846,Diesel,0,First,22.07,1199.0,73.9,5.0,3.5,Volkswagen,0,emerging
157,4,8.699514748210191,Petrol,0,First,20.63,1198.0,67.06,5.0,2.5,Datsun,0,metro 1
158,7,10.412711894935144,Petrol,0,First,19.4,1198.0,86.8,5.0,2.39,Honda,0,metro 1
159,7,10.275051108968611,Petrol,1,First,14.8,1595.0,120.7,5.0,11.25,Mercedes-Benz,0,metro 1
160,5,10.66501741845733,Diesel,0,First,26.0,1498.0,98.6,5.0,7.11,Honda,0,emerging
161,4,11.407564949312402,Diesel,0,First,12.99,2494.0,100.6,7.0,10.9,Toyota,0,metro 2
162,3,10.08601742096504,Petrol,0,First,20.4,1197.0,81.8,5.0,6.2,Maruti,0,metro 2
163,8,10.397939862184174,Diesel,0,First,15.1,2179.0,140.0,7.0,7.9,Mahindra,0,metro 1
164,6,11.90427812595702,Diesel,0,First,22.7,1498.0,89.84,5.0,4.42,Ford,0,emerging
165,8,11.788775311915373,Diesel,0,First,13.0,2982.0,168.5,7.0,13.5,Toyota,0,metro 1
166,7,11.082142548877775,Diesel,1,First,21.5,1498.0,108.5,5.0,6.25,Volkswagen,0,metro 1
167,10,11.099271922956497,Diesel,0,Second,20.0,1399.0,68.0,5.0,2.1,Ford,0,emerging
168,5,10.621327345686446,Diesel,1,First,15.3,2993.0,258.0,5.0,45.0,BMW,0,metro 1
169,3,10.066881099444563,Diesel,1,First,19.27,2143.0,167.62,5.0,33.66,Mercedes-Benz,0,emerging
170,8,10.714417768752456,Petrol,0,Second,19.4,1198.0,86.8,5.0,3.65,Honda,0,metro 2
171,7,11.002099841204238,Petrol,0,First,20.36,1197.0,78.9,5.0,2.75,Hyundai,0,metro 1
172,4,10.701310014034204,Diesel,1,First,17.9,2143.0,170.0,5.0,42.5,Mercedes-Benz,0,metro 2
173,1,6.907755278982137,Petrol,0,First,18.9,1197.0,81.86,5.0,6.5,Hyundai,1,metro 1
174,8,11.042921835724492,Diesel,1,Second,17.68,1968.0,174.33,5.0,19.0,Audi,0,metro 1
175,7,9.95227771670556,Petrol,1,Second,14.4,1598.0,103.6,5.0,4.45,Volkswagen,0,metro 1
176,3,9.050758302151717,Diesel,1,Second,16.6,1998.0,112.0,5.0,23.0,Mini,0,emerging
177,6,10.275051108968611,Diesel,0,First,22.54,1396.0,88.73,5.0,8.35,Hyundai,0,metro 2
178,6,10.596634733096073,Diesel,1,First,17.68,1968.0,174.33,5.0,22.95,Audi,0,metro 1
179,8,11.385092093460344,Diesel,0,First,25.44,936.0,57.6,5.0,1.5,Chevrolet,0,emerging
180,8,10.888128282631826,Petrol,1,First,13.7,1798.0,157.75,5.0,6.89,Skoda,0,emerging
181,14,12.283033686666302,Diesel,0,Second,17.8,1399.0,68.0,5.0,1.45,Ford,0,metro 1
182,6,10.839580911706463,Diesel,1,First,22.48,1995.0,190.0,5.0,33.5,BMW,1,metro 2
183,13,11.682668239557323,Petrol,0,First,12.9,1598.0,102.5,5.0,1.25,Chevrolet,0,emerging
184,8,11.05089000537367,Diesel,0,First,22.07,1199.0,73.9,5.0,4.2,Volkswagen,0,metro 2
185,5,10.126631103850338,Diesel,0,First,19.98,1461.0,108.5,8.0,6.75,Renault,0,metro 1
186,6,10.528944584126123,Diesel,1,First,13.0,2143.0,201.1,5.0,32.0,Mercedes-Benz,0,metro 2
187,3,10.117509629400777,Petrol,0,First,21.4,1197.0,83.1,5.0,7.5,Maruti,1,emerging
188,8,11.03488966402723,Diesel,0,First,22.32,1582.0,126.32,5.0,4.6,Hyundai,0,metro 1
189,3,10.865516176084137,Petrol,0,First,19.81,1086.0,68.05,5.0,4.04,Hyundai,0,emerging
190,4,10.946217083956563,Diesel,0,First,15.4,1997.0,120.0,7.0,10.31,Mahindra,0,emerging
191,2,10.493798805759472,Diesel,1,First,12.7,2179.0,187.7,5.0,55.76,Land Rover,0,emerging
192,10,11.695247021764184,Diesel,0,First,20.0,1399.0,68.0,5.0,2.6,Ford,0,metro 1
193,4,10.404262840448617,Diesel,0,First,25.47,1248.0,88.5,7.0,8.5,Maruti,1,metro 1
194,13,11.002199836204571,Petrol,0,First,18.22,1494.72,110.78,5.0,2.95,Honda,0,metro 2
195,6,10.858998997563564,Diesel,0,First,25.8,1498.0,98.6,5.0,3.5,Honda,0,metro 1
196,5,10.682147070420287,Petrol,0,First,20.36,1197.0,78.9,5.0,3.55,Hyundai,0,emerging
197,7,10.819778284410283,Diesel,0,First,25.8,1498.0,98.6,5.0,3.25,Honda,0,metro 1
198,12,11.635143097694478,Diesel,0,First,17.5,1896.0,106.0,5.0,4.5,Skoda,0,metro 2
199,6,11.407564949312402,Diesel,0,First,19.87,1461.0,83.8,5.0,5.35,Renault,0,metro 1
200,3,10.275051108968611,Diesel,0,Second,17.45,1493.0,100.0,7.0,6.5,Mahindra,1,metro 1
201,4,9.903487552536127,Diesel,0,First,24.3,1248.0,88.5,5.0,9.0,Maruti,1,metro 1
202,4,11.018825845119824,Petrol,0,First,18.6,1197.0,81.83,5.0,6.0,Hyundai,0,emerging
203,11,11.378925391103238,Petrol,0,First,14.7,1390.0,85.0,5.0,2.75,Skoda,0,emerging
204,10,11.16336798880036,Petrol,0,First,15.64,1193.0,64.1,5.0,1.5,Tata,0,metro 2
